Date : 2026-07-16 23:17:07
Directory : c:\Users\chris\Desktop\dandilion
Total : 239 files,  33779 codes, 1066 comments, 6211 blanks, all 41056 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\Kbd.tsx                    | TypeScript JSX     |         15 |          0 |          2 |         17 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\List.tsx                   | TypeScript JSX     |         68 |          9 |          5 |         82 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\SearchField.tsx            | TypeScript JSX     |         47 |          1 |          3 |         51 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\SegmentedControl.tsx       | TypeScript JSX     |         72 |          4 |          6 |         82 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\Select.tsx                 | TypeScript JSX     |         73 |          6 |          5 |         84 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\Skeleton.tsx               | TypeScript JSX     |          9 |          1 |          3 |         13 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\Slider.tsx                 | TypeScript JSX     |         26 |          0 |          3 |         29 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\Spinner.tsx                | TypeScript JSX     |         19 |          5 |          3 |         27 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\Switch.tsx                 | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\Toast.tsx                  | TypeScript JSX     |         66 |          1 |          7 |         74 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\Tooltip.tsx                | TypeScript JSX     |         26 |          1 |          4 |         31 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\menu-styles.ts             | TypeScript         |         10 |          4 |          6 |         20 |
| c:\Users\chris\Desktop\dandilion\src\renderer\env.d.ts                                 | TypeScript         |         22 |          2 |          4 |         28 |
| c:\Users\chris\Desktop\dandilion\src\renderer\hooks\useAsyncData.ts                    | TypeScript         |         55 |          9 |          9 |         73 |
| c:\Users\chris\Desktop\dandilion\src\renderer\hooks\useBrowser.ts                      | TypeScript         |         22 |          0 |          5 |         27 |
| c:\Users\chris\Desktop\dandilion\src\renderer\index.html                               | HTML               |         16 |          5 |          1 |         22 |
| c:\Users\chris\Desktop\dandilion\src\renderer\lib\cn.ts                                | TypeScript         |          5 |          1 |          2 |          8 |
| c:\Users\chris\Desktop\dandilion\src\renderer\lib\commands.ts                          | TypeScript         |        216 |          8 |         14 |        238 |
| c:\Users\chris\Desktop\dandilion\src\renderer\lib\downloads.ts                         | TypeScript         |         98 |          5 |          9 |        112 |
| c:\Users\chris\Desktop\dandilion\src\renderer\lib\events.ts                            | TypeScript         |         12 |          2 |          3 |         17 |
| c:\Users\chris\Desktop\dandilion\src\renderer\lib\tab-colors.ts                        | TypeScript         |         26 |          2 |          4 |         32 |
| c:\Users\chris\Desktop\dandilion\src\renderer\lib\theme.ts                             | TypeScript         |         49 |         14 |         10 |         73 |
| c:\Users\chris\Desktop\dandilion\src\renderer\lib\trpc\client.ts                       | TypeScript         |          5 |          5 |          3 |         13 |
| c:\Users\chris\Desktop\dandilion\src\renderer\lib\trpc\link.ts                         | TypeScript         |         31 |          8 |          4 |         43 |
| c:\Users\chris\Desktop\dandilion\src\renderer\main.tsx                                 | TypeScript JSX     |         13 |          0 |          3 |         16 |
